year,month,obs,yearmonth,remainsmonth
2015,1,1,201501,8
2015,2,1,201502,6
2015,3,1,201503,6
2015,4,1,201504,5
2015,5,1,201505,5
2015,6,1,201506,19
2015,7,1,201507,14
2015,8,1,201508,28
2015,9,1,201509,19
2015,10,1,201510,9
2015,11,1,201511,10
2015,12,1,201512,6
2016,1,1,201601,7
2016,2,1,201602,1
2016,3,1,201603,8
2016,4,1,201604,6
2016,5,1,201605,9
2016,6,1,201606,24
2016,7,1,201607,23
2016,8,1,201608,15
2016,9,1,201609,20
2016,10,1,201610,13
2016,11,1,201611,9
2016,12,1,201612,12
2017,1,1,201701,13
2017,2,1,201702,15
2017,3,1,201703,5
2017,4,1,201704,4
2017,5,1,201705,11
2017,6,1,201706,20
2017,7,1,201707,12
2017,8,1,201708,10
2017,9,1,201709,11
2017,10,1,201710,6
2017,11,1,201711,7
2017,12,1,201712,4
2018,1,1,201801,5
2018,2,1,201802,7
2018,3,1,201803,8
2018,4,1,201804,10
2018,5,1,201805,9
2018,6,1,201806,23
2018,7,1,201807,13
2018,8,1,201808,13
2018,9,1,201809,12
2018,10,1,201810,9
2018,11,1,201811,3
2018,12,1,201812,8
2019,1,1,201901,11
2019,2,1,201902,8
2019,3,1,201903,7
2019,4,1,201904,8
2019,5,1,201905,13
2019,6,1,201906,12
2019,7,1,201907,19
2019,8,1,201908,13
2019,9,1,201909,13
2019,10,1,201910,14
2019,11,1,201911,7
2019,12,1,201912,11
2020,1,1,202001,19
2020,2,1,202002,21
2020,3,1,202003,12
2020,4,1,202004,12
2020,5,1,202005,12
2020,6,1,202006,12
2020,7,1,202007,25
2020,8,1,202008,24
2020,9,1,202009,35
2020,10,1,202010,16
2020,11,1,202011,13
2020,12,1,202012,12
2021,1,1,202101,16
2021,2,1,202102,14
2021,3,1,202103,19
2021,4,1,202104,13
2021,5,1,202105,18
2021,6,1,202106,44
2021,7,1,202107,19
2021,8,1,202108,16
2021,9,1,202109,25
2021,10,1,202110,11
2021,11,1,202111,15
2021,12,1,202112,5
2022,1,1,202201,15
2022,2,1,202202,10
2022,3,1,202203,18
2022,4,1,202204,12
2022,5,1,202205,13
2022,6,1,202206,27
2022,7,1,202207,30
2022,8,1,202208,10
2022,9,1,202209,13
2022,10,1,202210,6
2022,11,1,202211,11
2022,12,1,202212,6
2023,1,1,202301,5
2023,2,1,202302,15
2023,3,1,202303,15
2023,4,1,202304,9
2023,5,1,202305,9
2023,6,1,202306,13
2023,7,1,202307,42
2023,8,1,202308,25
2023,9,1,202309,27
2023,10,1,202310,14
2023,11,1,202311,14
2023,12,1,202312,9
2024,1,1,202401,10
2024,2,1,202402,18
2024,3,1,202403,3
2024,4,1,202404,8
2024,5,1,202405,3
2024,6,1,202406,15
2024,7,1,202407,36
2024,8,1,202408,15
2024,9,1,202409,15
2024,10,1,202410,8
2024,11,1,202411,11
2024,12,1,202412,13
