record,uuid,date,s2,s3,s4,s5r1,s5r2,s5r3,s5r4,s5r5,s5r6,s5r7,s6,s6r22oe,origcat,state,akc,alc,arc,azc,cac,coc,ctc,dec,flc,gac,hic,iac,idc,ilc,inc,ksc,kyc,lac,mac,mec,mdc,mic,mnc,moc,msc,mtc,ncc,ndc,nec,nhc,nmc,nvc,njc,nyc,ohc,okc,orc,pac,ric,scc,sdc,tnc,txc,utc,vac,vtc,wac,wic,wvc,wyc,s9,educat,s10,q1,q2,splitassignment1,pipeq3r1,pipeq3r2,pipeq3none,q3,q3r8oe,pipeq4r3,pipeq4r2,pipeq4none,q4r1,q4r2,q4r3,q4r4,q4r5,q4r6,q4r7,q4r8,q4r9,q5,q6,q7,q8r1,q8r2,q8r3,q8r4,q8r5,q8r6,q8r7,q8r8,q8r9,q8r10,q8r11,q8r12,q9,q10,q11,q12,q13,q14r1,q14r2,q14r3,q14r4,q14r5,q15,q16,q17r1,q18,q19,q20r1,q20r2,q20r3,q20r4,q20r5,q21,q71,q22,q23,q24,q25,q26,q27,q28,q29r1,q29r2,q29r3,q29r4,q29r5,q29r6,q30r1,q30r2,q30r3,q30r4,q30r5,q30r6,q30r7,q30r8,oaxaca_treatments,q31,q32,q33,q34,q35r1,q35r2,q35r3,q35r4,q35r5,q36,q37,q37r8oe,q38,q38r8oe,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,q50r1,q50r2,q50r3,q50r4,q50r5,q50r6,q50r7,q50r7oe,q51,q52r1,q52r2,q52r3,q52r4,q52r5,q52r6,q52r7,q52r8,q52r9,q52r10,q52r11,q52r12,q52r13,q52r14,q72,q53a,q53b,q54,q55,q56r1,q56r2,q56r3,q56r4,q56r5,q56r6,q56r7,q56r8,q56r9,q57,q58,q59,q60,q61,q62,q63r1,q63r2,q63r3,q63r4,q63r5,q63r6,q63r7,q64,q65,q66,q67,q68r1,q68r2,q68r3,q68r4,q68r5,q68r6,q68r7,q68r8,q69r1,q69r2,q69r3,q69r4,q69r5,q69r6,q69r7,q69r8,q69r9,q69r10,q69r11,q69r12,q69r13,q69r14,q69r15,q69r16,q69r17,q69r18,q69r19,q69r20,q69r21,q69r22,q69r23,q69r24,q69r25,q69r26,q69r27,q69r28,q69r29,q69r30,q69r31,q69r32,q69r31oe,q70,vlist,qtime,vmobiledevice,vmobileos,start_date,declang,weight
53,"v4nwj41s1cmbywjg",22apr2025 17:07:00,3,1,2,0,1,0,0,0,0,0,13,"",1,13,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,16,2,2,0,1,0,1,"",0,1,0,2,2,2,2,2,2,2,2,2,,1,2,1,0,0,0,0,0,0,0,0,,0,0,5,5,4,,5,0,0,0,1,0,4,4,7,3,4,0,0,0,0,1,3,3,2,3,,3,1,20,4,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,3,3,1,1,0,0,0,1,0,5,,"",4,"",3,1,1,1,5,3,3,4,2,1,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,2,2,2,0,0,0,0,0,0,0,0,1,,2,4,2,4,4,0,0,0,0,1,0,0,1,4,,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","89883",1,1579.01,6,6,22apr2025 16:40:00,"spanish",.7664928
58,"c0506g08unafcdrc",22apr2025 17:27:00,4,2,2,0,1,0,0,0,0,0,7,"",4,14,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,44,2,2,0,1,0,3,"",0,1,0,2,2,2,2,2,2,2,2,2,,1,2,1,0,0,0,0,0,0,0,1,0,,0,5,5,2,,2,0,0,0,1,0,2,2,7,3,4,0,0,0,0,1,3,4,1,2,,3,2,20,2,2,2,3,2,1,2,0,1,0,1,1,0,0,0,1,5,5,1,4,0,0,0,0,1,3,,"",3,"",3,2,1,1,2,5,4,4,2,1,3,,,,,,,,"",,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,3,0,,,0,0,0,0,0,0,0,0,1,,2,5,3,2,2,0,0,0,0,1,0,0,,2,1,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","60007",1,1870.52,6,6,22apr2025 16:50:00,"spanish",.8278155
63,"tetan3mpxdv263k8",22apr2025 17:35:00,5,1,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,3,1,1,44,1,2,0,1,0,1,"",0,1,0,3,2,2,2,3,2,3,2,2,,1,2,0,0,0,0,0,0,0,1,0,,0,0,5,5,5,,5,0,0,0,1,0,1,1,7,2,4,0,0,0,0,1,1,1,2,2,,2,1,6,3,2,2,3,2,2,2,0,0,1,0,0,0,0,0,3,4,3,2,3,0,1,0,1,0,1,,"",7,"",2,1,1,1,3,4,3,4,4,1,3,,,,,,,,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,1,1,0,0,0,1,1,1,0,4,3,5,1,3,4,1,0,0,0,0,0,0,3,3,,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","76013",1,1807.78,6,6,22apr2025 17:02:00,"english",1.149739
64,"qfh51wdd7ussy2ze",22apr2025 17:54:00,4,2,2,0,1,0,0,0,0,0,13,"",1,10,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,20,2,1,1,0,0,3,"",1,0,0,2,2,2,2,2,2,2,2,2,1,,2,0,0,0,0,0,0,0,0,1,,0,0,5,5,2,3,,0,0,0,0,1,2,1,7,1,3,0,0,0,0,1,1,4,1,1,3,,3,3,1,2,2,2,3,2,2,1,1,1,1,0,0,0,0,2,2,2,2,3,0,0,0,0,1,4,4,"",,"",4,1,2,2,1,4,4,4,4,1,3,,,,,,,,"",,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,2,0,,,0,1,0,0,0,0,0,0,0,6,3,6,2,2,2,1,0,0,0,0,0,0,1,3,,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","32817",1,2733.18,6,6,22apr2025 17:02:00,"english",.717716
71,"2zjv7kd1f9mdfg8s",28apr2025 16:45:00,5,1,2,0,1,0,0,0,0,0,21,"",3,14,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,27,1,1,1,0,0,1,"",1,0,0,2,2,2,2,1,2,2,2,2,3,,2,0,0,0,0,0,0,1,0,0,0,,0,2,4,2,3,,0,0,1,0,0,2,2,5,3,3,0,0,0,0,1,3,3,2,2,3,,2,3,5,2,3,2,2,2,3,0,0,0,1,0,0,0,0,1,2,2,2,2,0,1,0,0,0,2,4,"",,"",3,3,3,3,2,4,3,3,3,2,3,,,,,,,,"",,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,1,2,3,0,0,0,0,0,0,0,0,1,,2,8,2,3,3,0,0,0,1,0,0,0,,2,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","60641",1,2209.65,6,6,22apr2025 17:15:00,"spanish",.9945841
84,"8yg6rag3a6myz4kc",22apr2025 18:46:00,2,1,2,0,1,0,0,0,0,0,13,"",1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,5,2,1,40,2,1,1,0,0,6,"",1,0,0,2,2,2,2,3,2,2,2,2,1,,2,0,0,0,0,0,0,1,1,0,,0,0,4,4,2,2,,0,0,0,1,0,2,1,5,3,3,1,0,0,0,0,1,1,1,1,2,,1,5,3,2,2,2,2,2,2,0,0,1,0,0,1,1,0,1,1,1,2,2,1,0,0,0,0,1,3,"",,"",3,3,1,1,2,4,4,4,4,1,3,,,,,,,,"",,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,1,,3,8,1,3,2,0,0,0,0,1,1,0,1,2,1,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","89179",1,2653.96,6,6,22apr2025 17:59:00,"english",.6968117
88,"qqsghkbtq89menn8",22apr2025 18:18:00,2,1,2,0,1,0,0,0,0,0,13,"",1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,6,3,1,26,1,1,1,0,0,2,"",1,0,0,2,2,2,2,2,2,2,2,2,1,,1,0,0,0,0,0,0,0,0,1,,1,0,1,1,1,1,,0,0,0,1,0,2,1,4,1,3,0,0,0,0,1,1,1,2,2,1,,2,10,1,1,1,1,1,2,1,0,0,0,0,0,0,1,0,3,1,1,1,1,1,0,1,0,0,1,3,"",,"",3,1,2,2,4,4,4,4,4,1,3,,,,,,,,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,0,0,0,0,0,0,0,0,1,,3,10,1,2,4,0,0,0,0,0,0,1,1,1,1,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","78573",1,1440.99,6,6,22apr2025 17:53:00,"english",1.045218
93,"whpwt1bus02v0x50",30apr2025 14:38:00,5,2,2,0,1,0,0,0,0,0,19,"",6,3,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,65,2,1,1,0,0,8,"born here",1,0,0,3,3,3,3,3,3,3,3,3,4,,1,0,0,0,0,0,0,0,0,0,0,,1,3,3,5,3,,0,0,0,0,1,4,4,7,2,5,0,0,0,0,1,3,4,3,3,1,,3,3,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,1,3,1,"",,"",1,3,4,2,4,5,1,2,2,1,3,,,,,,,,"",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,0,0,0,0,0,0,0,0,1,,4,13,1,3,4,1,0,0,0,0,0,0,,2,1,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","85392",1,2043.46,6,6,22apr2025 18:05:00,"english",.7525595
94,"t89sgyvs03zvnew8",26apr2025 09:47:00,4,2,2,0,1,0,0,0,0,0,13,"",1,3,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,16,2,1,1,0,0,1,"",1,0,0,2,2,2,2,2,2,2,2,2,1,,1,0,0,0,0,0,0,0,0,0,,0,1,5,5,5,5,,0,0,0,1,0,2,1,7,1,2,0,0,0,0,1,3,2,2,2,2,,1,3,4,2,2,2,2,2,2,0,0,0,0,0,0,1,0,4,5,5,2,5,0,0,0,0,1,4,3,"",,"",3,3,2,3,4,5,5,4,3,1,3,,,,,,,,"",,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,3,1,2,2,0,0,0,0,0,0,0,0,1,,2,3,2,1,2,1,0,0,0,0,0,0,2,2,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","85706",1,1687.63,6,6,22apr2025 18:06:00,"spanish",.897145
100,"xp7dbmgu088ywwyb",22apr2025 18:57:00,3,1,2,0,1,0,0,0,0,0,13,"",1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,3,1,2,19,2,2,0,1,0,6,"",0,1,0,2,2,2,2,2,2,2,2,2,,1,2,1,0,0,0,0,0,0,0,0,0,,0,5,5,5,,3,1,0,0,0,0,2,1,7,1,4,0,0,0,0,1,3,3,1,1,,3,1,10,4,2,3,2,2,2,2,0,0,1,0,0,0,0,0,3,1,3,1,4,0,0,0,0,1,5,,"",4,"",3,1,1,1,4,1,1,1,1,3,3,,,,,,,,"",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,1,2,1,0,0,0,0,0,0,0,0,1,,2,5,2,4,1,1,0,0,0,0,0,0,,2,2,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","89030",1,1484.42,6,6,22apr2025 18:31:00,"spanish",.9017563
115,"nz00jp0wsgzghpdf",22apr2025 19:44:00,6,1,2,0,1,0,0,0,0,0,13,"",1,3,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,50,2,2,0,1,0,6,"",0,1,0,2,2,2,3,3,2,2,2,3,,2,2,0,0,0,0,0,0,0,0,0,,0,1,5,5,5,,5,0,0,0,1,0,4,1,6,2,5,0,0,0,0,1,3,3,5,5,,2,3,10,1,3,3,3,3,3,3,0,0,1,0,0,0,0,0,4,3,3,2,4,0,0,0,0,1,4,,"",3,"",3,2,1,1,2,4,4,4,2,1,3,,,,,,,,"",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,,3,5,3,3,2,0,0,0,0,1,0,0,1,3,,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","85713",1,2242.31,6,6,22apr2025 19:07:00,"spanish",.9581161
