dummy,pid7,raceidentity,whiteresp,latresp,blackresp,aapiresp,sex,education,income,AM1,AM2,AM3,AM4,beingamerican,EG1,EG2,EG3,EG4,egalitarian,MT1,MT2,moraltrad,TE1,TE2,TE3,trustexperts,CB1,CB2,conspiracy,GR1,GR2,genderroles,MS1,MS2,sexism,RR1,RR2,RR3,RR4,racialresent,GE1,GE2,GE3,GE4,groupempathy,MA1,MA2,minorityadapt,BI1,BI2,BI3,immbeliefs,FT1,FT2,FT3,FT4,freetrade,UB1,UB2,usbest,trumptherm,fundamentalist_therm,muslim_therm,christian_therm,jewish_therm,feminists_therm,lg_therm,trans_therm,police_therm,ice_therm,blm_therm,metoo_therm,who_therm,nato_therm,un_therm,nra_therm,planned_parenthood_therm,cdc_therm,fauci_therm,scientists_therm,interest,follow,policetreat,policeforce,religimport,climatechange,climateregulation,preweight,postweight,abortion,gunsowned,gunpurchase,gunaccess,gunbackground,gunassaultban,gunassaultbuyback,guncontrol,whitelat,abortcourt,court_therm
1,3,1,1,0,0,0,0,4,21,0,0,2,1,3,4,3,3,3,13,1,1,1,3,2,4,3,3,1,2,3,3,3,1,1,1,1,1,2,0,1,2,3,3,4,3,3,1,2,0,0,0,0,3,3,1,4,2.75,3,3,3,5,0,55,50,50,50,50,50,15,0,50,50,60,50,25,0,80,80,85,80,4,3,7,4,1,5,7,6.903874,6.616629,4,2,3,3,5,1,2,5,1,7,25
1,7,1,1,0,0,0,0,5,15,1,1,1,1,4,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2.25,2,2,2,100,50,50,50,50,50,50,50,50,,50,,50,50,50,,,50,50,50,2,2,4,2,5,3,4,1.317734,1.72785,2,0,2,2,4,4,4,9,1,2,50
1,2,3,0,1,,0,1,1,6,3,1,1,2,7,4,4,4,3,15,0,4,2,2,4,4,3.333333,4,0,2,4,3,3.5,1,0,.5,3,1,2,2,2,1,4,2,1,2,3,1,2,0,0,1,.3333333,5,4,2,2,3.25,2,4,3,15,50,50,50,50,60,30,30,70,15,50,50,,,,,60,,50,70,2,2,7,3,4,4,7,4.473985,5.809539,2,0,2,5,7,3,4,11,0,5,70
1,1,1,1,0,0,0,0,4,5,1,1,1,1,4,3,3,3,3,12,1,2,1.5,2,3,4,3,2,0,1,5,3,4,1,0,.5,0,1,1,0,.5,2,2,2,2,2,2,1,1.5,1,0,0,.3333333,5,4,2,2,3.25,1,3,2,0,45,65,65,60,80,60,60,65,40,75,70,80,75,80,45,90,60,75,75,3,2,7,2,2,4,7,.7465379,.6097081,4,4,2,3,7,4,1,9,1,7,60
1,5,1,1,0,0,0,1,1,5,0,0,3,2,5,0,1,1,2,4,4,3,3.5,2,1,4,2.333333,2,1,1.5,3,3,3,0,1,.5,4,2,3,2,2.75,3,3,2,3,2.75,4,1,2.5,1,2,2,1.666667,3,3,2,2,2.5,2,4,3,100,0,0,100,85,50,30,30,85,85,100,100,70,100,100,85,100,100,85,85,3,3,4,2,5,4,7,.7939649,.7343754,2,1,2,4,7,4,1,9,1,7,85
1,5,1,1,0,0,0,0,4,20,1,1,1,1,4,3,1,2,3,9,1,3,2,2,1,3,2,3,1,2,5,3,4,1,1,1,3,1,2,3,2.25,2,2,2,2,2,2,2,2,1,1,2,1.333333,5,4,2,2,3.25,2,4,3,60,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,60,2,1,6,3,1,4,6,.8903629,.9064169,4,0,2,2,7,6,4,14,1,6,50
1,6,1,1,0,0,0,0,5,22,0,0,2,2,4,4,1,3,4,12,3,2,2.5,3,2,4,3,1,0,.5,5,3,4,0,1,.5,0,0,0,1,.25,1,2,2,2,1.75,3,1,2,1,0,1,.6666667,5,4,1,3,3.25,1,3,2,,30,40,50,50,70,50,45,70,35,90,65,70,85,55,15,70,85,100,90,4,3,6,2,3,5,7,.7884672,.6459818,4,4,3,5,7,7,6,17,1,6,40
1,1,3,0,1,,0,0,2,15,3,3,3,2,11,3,1,1,3,8,1,3,2,2,2,3,2.333333,2,2,2,6,5,5.5,1,1,1,4,3,4,3,3.5,2,3,3,3,2.75,2,3,2.5,2,2,3,2.333333,3,2,2,2,2.25,0,2,1,0,50,70,85,85,15,100,100,40,50,85,50,50,50,50,50,70,50,50,70,1,2,7,4,2,3,4,1.415001,1.476861,4,1,3,4,7,7,6,17,0,7,50
1,4,4,0,0,0,1,1,2,1,3,2,2,2,9,2,3,2,1,8,3,1,2,2,2,1,1.666667,1,1,1,5,0,2.5,2,1,1.5,2,1,1,2,1.5,2,0,0,0,.5,1,1,1,3,1,1,1.666667,3,2,0,2,1.75,1,0,.5,85,0,0,0,0,0,0,15,50,,0,,,,,,,0,40,15,3,4,4,2,4,2,4,.7436265,1.035521,3,0,2,4,4,4,4,9,,2,15
1,4,5,0,0,0,0,0,3,13,0,0,0,0,0,0,2,2,2,6,2,2,2,2,4,4,3.333333,4,4,4,6,3,4.5,0,1,.5,2,2,2,2,2,0,4,4,0,2,2,0,1,2,2,2,2,6,4,2,4,4,2,4,3,0,50,50,50,50,50,50,50,15,15,50,50,50,15,50,50,50,50,0,50,2,2,7,4,1,1,1,.8558128,1.240827,4,0,2,1,4,4,1,6,,4,0
1,1,1,1,0,0,0,1,5,4,2,1,2,1,6,3,3,2,3,11,1,1,1,4,4,4,4,2,0,1,3,3,3,1,1,1,1,1,2,0,1,1,1,1,2,1.25,3,1,2,1,0,0,.3333333,4,3,2,3,3,1,3,2,0,0,40,40,70,70,85,85,70,15,60,70,85,60,70,0,85,60,70,85,4,4,7,2,1,5,7,.2493781,.2071724,,0,3,3,7,7,6,17,1,7,15
1,7,1,1,0,0,0,0,4,20,1,1,2,2,6,3,2,2,2,9,4,4,4,0,0,1,.3333333,1,2,1.5,3,3,3,1,1,1,3,3,4,2,3,2,1,1,3,1.75,3,3,3,2,2,2,2,5,3,3,3,3.5,3,4,3.5,100,70,30,85,100,15,70,30,100,85,0,0,15,50,0,100,0,70,15,50,3,3,4,2,3,1,1,.6202773,.5413012,2,0,1,3,2,1,1,1,1,4,70
1,2,1,1,0,0,0,1,5,20,0,0,0,0,0,4,4,4,4,16,1,1,1,3,4,4,3.666667,0,0,0,3,3,3,0,0,0,0,0,0,0,0,2,4,4,3,3.25,0,0,0,0,0,0,0,6,4,4,4,4.5,0,4,2,0,30,50,50,50,85,85,85,70,30,70,100,70,85,70,20,100,90,100,100,4,3,7,2,3,5,7,1.123763,1.098022,4,0,3,5,7,7,4,15,1,7,60
1,7,1,1,0,0,0,1,4,10,2,2,3,2,9,2,1,1,3,7,4,3,3.5,2,2,2,2,1,1,1,3,3,3,0,0,0,4,3,2,3,3,3,2,2,2,2.25,3,3,3,2,1,3,2,5,4,3,2,3.5,2,3,2.5,85,60,50,100,85,50,70,50,70,50,50,50,70,60,60,70,50,60,50,85,2,2,6,3,5,2,7,.7872419,.6427811,2,4,2,3,7,4,4,12,1,7,70
1,1,2,0,0,0,0,1,3,9,3,3,3,2,11,4,0,3,2,9,2,1,1.5,2,4,4,3.333333,2,2,2,6,6,6,2,0,1,0,2,1,0,.75,2,4,3,3,3,1,2,1.5,2,2,0,1.333333,3,2,2,3,2.5,3,3,3,15,75,70,,100,85,40,40,85,70,70,,100,,,0,,100,50,85,3,2,4,5,5,3,4,1.254254,.8767082,1,0,3,4,7,7,7,18,,1,85
1,3,1,1,0,0,0,1,5,3,0,0,0,0,0,4,4,4,4,16,1,0,.5,4,4,4,4,1,0,.5,3,3,3,0,0,0,0,0,0,0,0,2,4,4,2,3,0,0,0,2,0,0,.6666667,4,3,2,2,2.75,0,1,.5,0,10,60,30,50,100,100,70,10,0,100,90,70,50,80,10,90,80,70,100,4,3,7,4,1,5,7,.9067346,.7768527,4,0,3,2,7,7,4,15,1,7,60
1,1,1,1,0,0,0,1,5,8,0,0,2,1,3,0,,4,4,,2,4,3,4,4,4,4,3,0,1.5,5,3,4,1,1,1,1,0,0,4,1.25,4,1,3,3,2.75,1,0,.5,0,0,0,0,6,4,2,2,3.5,0,1,.5,0,0,60,15,70,100,100,100,15,0,85,85,100,50,85,0,100,100,100,100,4,4,4,4,1,5,7,.636937,.4800507,4,6,3,5,7,7,7,18,1,7,50
1,7,1,1,0,0,0,0,4,,1,1,3,2,7,3,2,3,1,9,3,3,3,2,2,2,2,0,3,1.5,3,5,4,0,0,0,3,2,2,1,2,2,2,2,2,2,2,0,1,0,2,2,1.333333,6,4,2,3,3.75,2,3,2.5,100,85,50,50,85,15,50,50,70,85,0,0,15,40,30,85,0,50,60,70,4,4,4,2,3,1,1,.4953658,.3733166,,,1,5,4,1,1,3,1,4,70
1,7,1,1,0,0,0,1,4,19,1,1,3,3,8,1,1,2,3,7,4,3,3.5,2,3,3,2.666667,3,3,3,3,3,3,1,1,1,3,1,2,3,2.25,2,2,1,3,2,3,3,3,2,1,1,1.333333,3,2,2,3,2.5,2,3,2.5,70,60,70,60,50,40,85,50,85,50,40,40,40,50,50,50,60,30,50,50,2,2,4,2,4,1,4,.4621536,.5240775,,0,3,2,7,5,3,12,1,4,50
1,1,2,0,0,0,0,1,3,4,2,2,2,2,8,2,2,2,3,9,1,2,1.5,0,2,4,2,3,2,2.5,3,3,3,2,2,2,2,2,1,2,1.75,2,3,3,2,2.5,2,1,1.5,1,1,3,1.666667,3,2,2,2,2.25,2,0,1,5,60,90,95,95,60,60,30,65,10,90,50,,70,75,65,70,75,50,65,3,3,7,3,5,3,4,.4378014,.3649065,1,0,3,4,6,4,4,11,,4,55
1,7,1,1,0,0,0,0,5,10,2,1,3,3,9,1,2,2,0,5,4,4,4,0,1,1,.6666667,4,4,4,5,3,4,3,1,2,3,4,2,3,3,0,2,0,0,.5,4,1,2.5,1,1,3,1.666667,6,4,3,3,4,0,4,2,100,60,50,30,50,15,50,50,100,75,0,0,5,50,5,85,0,75,4,100,4,4,5,2,2,1,1,.6632024,.6309835,2,0,1,3,6,1,4,8,1,1,75
1,7,1,1,0,0,0,1,4,19,3,3,3,3,12,0,0,0,1,1,4,4,4,2,2,2,2,2,4,3,4,0,2,0,0,0,4,4,4,4,4,0,0,2,0,.5,4,4,4,2,2,3,2.333333,3,2,1,4,2.5,3,4,3.5,98,86,50,70,86,0,100,70,100,100,0,0,50,50,50,100,50,70,0,40,3,3,4,2,3,1,1,.6565902,.6441674,3,5,2,5,7,4,1,9,1,4,70
1,5,1,1,0,0,0,1,3,22,2,1,3,0,6,4,2,1,1,8,1,2,1.5,0,0,4,1.333333,2,2,2,5,3,4,0,1,.5,2,2,2,2,2,3,3,3,3,3,3,2,2.5,1,3,2,2,3,2,1,1,1.75,2,3,2.5,85,50,50,50,50,50,50,50,60,50,50,50,50,50,50,60,50,50,50,50,2,2,4,2,2,4,4,.874757,.9313002,,0,3,4,7,7,7,18,1,1,50
1,7,1,1,0,0,0,0,2,1,3,2,2,3,10,3,3,2,2,10,2,2,2,2,2,2,2,1,2,1.5,3,0,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,3,0,0,1,1,2,2,2,100,50,50,90,50,0,50,0,99,90,0,,50,50,50,99,50,50,50,90,3,3,4,1,4,4,2,.25001,.2425254,4,0,1,5,4,1,1,3,1,4,20
1,1,1,1,0,0,0,0,3,10,1,1,2,1,5,4,1,1,3,9,2,4,3,3,3,4,3.333333,1,0,.5,6,6,6,3,2,2.5,2,0,1,0,.75,2,3,2,3,2.5,2,1,1.5,0,1,1,.6666667,6,4,3,2,3.75,2,3,2.5,0,50,70,100,85,60,70,70,85,50,60,50,85,70,85,15,85,100,100,85,4,4,6,3,4,4,6,1.090842,.9218541,3,1,2,3,7,7,4,15,1,6,70
1,3,1,1,0,0,0,0,4,21,1,0,1,1,3,3,3,3,3,12,0,1,.5,4,4,4,4,2,1,1.5,5,3,4,0,0,0,1,1,2,3,1.75,2,2,1,2,1.75,1,0,.5,1,1,0,.6666667,5,3,3,3,3.5,0,2,1,0,20,40,40,70,70,70,70,50,0,60,70,60,70,70,0,70,70,90,90,3,3,6,2,1,5,7,.6339545,.6778119,4,0,3,3,7,7,3,14,1,6,60
1,7,4,0,0,0,1,1,4,12,1,1,3,2,7,4,0,3,3,10,4,4,4,3,2,3,2.666667,3,3,3,3,5,4,2,1,1.5,3,4,3,1,2.75,3,3,2,3,2.75,1,1,1,0,1,0,.3333333,5,3,1,3,3,1,2,1.5,80,80,50,100,70,50,80,30,70,70,20,,80,70,62,,30,70,70,60,2,2,6,3,4,3,6,.3148046,.3208138,1,0,3,3,6,6,6,15,,4,80
1,3,1,1,0,0,0,0,5,15,0,1,2,2,5,4,4,3,3,14,2,3,2.5,2,4,4,3.333333,1,0,.5,6,3,4.5,1,1,1,3,1,1,1,1.5,3,3,2,2,2.5,3,0,1.5,0,0,0,0,6,4,3,4,4.25,2,4,3,0,40,70,70,70,70,70,60,85,50,70,50,80,70,70,10,80,90,100,85,3,3,7,2,3,4,7,.4557575,.368949,4,1,3,5,7,7,6,17,1,7,85
1,1,5,0,0,0,0,1,3,,3,3,3,3,12,4,3,4,4,15,3,3,3,3,3,4,3.333333,3,2,2.5,5,6,5.5,0,2,1,0,0,0,0,0,4,3,3,4,3.5,3,1,2,2,2,3,2.333333,1,1,0,4,1.5,2,4,3,15,70,85,85,50,30,0,15,15,15,40,,,0,40,50,100,70,85,70,3,3,7,5,5,5,7,.9578607,.6931792,4,0,3,5,7,7,1,12,,6,50
1,1,2,0,0,0,0,1,5,10,0,0,3,1,4,3,4,4,4,15,3,0,1.5,4,4,4,4,1,0,.5,3,3,3,0,0,0,0,0,0,0,0,3,3,3,4,3.25,1,0,.5,0,0,0,0,5,4,2,3,3.5,0,3,1.5,0,15,90,70,90,95,90,85,40,45,90,90,100,100,75,0,100,70,100,100,3,4,7,3,3,3,7,.3442225,.2620826,4,,3,5,7,7,7,18,,7,30
1,4,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,4,,,1.362599,,1,2,,,,,,,1,5,
1,7,1,1,0,0,0,0,2,1,2,3,3,3,11,0,3,0,2,5,2,2,2,2,1,1,1.333333,2,2,2,5,0,2.5,2,2,2,1,2,0,3,1.5,3,2,4,4,3.25,2,3,2.5,3,4,4,3.666667,3,2,0,2,1.75,2,3,2.5,100,100,0,100,0,0,0,0,100,,15,,,,,,100,100,0,0,3,3,7,2,5,1,4,1.361796,1.681293,1,0,2,4,4,4,4,9,1,7,60
1,4,,,,,,1,3,,1,1,2,2,6,0,0,2,0,2,4,4,4,0,2,0,.6666667,0,4,2,3,3,3,3,3,3,4,4,4,3,3.75,0,2,2,2,1.5,4,2,3,1,2,2,1.666667,0,2,0,3,1.25,2,2,2,85,50,50,100,100,20,50,50,100,50,0,0,0,0,0,100,0,10,0,50,3,1,4,2,5,1,1,1.185891,1.010677,3,,2,5,4,4,1,6,,4,100
1,7,1,1,0,0,0,0,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,3,,,4.009351,,,8,,,,,,,1,3,
1,1,1,1,0,0,0,1,5,9,1,1,3,2,7,3,1,2,3,9,2,3,2.5,4,2,4,3.333333,1,1,1,4,3,3.5,0,1,.5,3,4,3,3,3.25,2,3,2,3,2.5,3,1,2,2,3,3,2.666667,3,3,2,4,3,2,2,2,15,50,10,85,75,50,15,20,90,30,50,,90,70,60,45,65,95,100,90,3,3,5,2,5,3,6,.2792112,.2225092,2,0,3,4,7,6,5,15,1,2,90
1,3,1,1,0,0,0,0,5,21,0,0,2,1,3,3,3,1,3,10,0,3,1.5,4,4,3,3.666667,0,0,0,4,3,3.5,1,0,.5,1,1,2,1,1.25,4,3,2,3,3,2,0,1,1,0,0,.3333333,6,4,2,3,3.75,1,2,1.5,0,30,60,70,90,85,90,85,60,60,70,60,75,90,60,15,90,70,95,90,4,4,7,3,2,4,7,.5522678,.5724415,4,0,3,4,7,7,7,18,1,7,60
1,6,1,1,0,0,0,0,2,9,3,2,3,2,10,3,1,2,4,10,1,2,1.5,1,1,3,1.666667,2,3,2.5,5,3,4,1,1,1,4,3,3,3,3.25,1,2,2,2,1.75,2,2,2,3,2,2,2.333333,3,2,0,0,1.25,2,1,1.5,30,30,40,85,60,60,40,60,60,60,60,,70,,70,85,40,85,100,85,3,3,7,3,2,3,6,1.515287,1.412102,2,4,2,3,7,4,4,12,1,4,60
1,5,1,1,0,0,0,0,2,13,1,0,2,1,4,4,2,3,2,11,2,3,2.5,1,2,2,1.666667,3,3,3,4,4,4,1,1,1,4,3,3,3,3.25,1,2,2,3,2,3,3,3,2,2,3,2.333333,3,1,1,3,2,2,1,1.5,85,50,70,85,70,50,50,50,85,85,0,50,30,50,50,100,50,40,40,50,3,3,5,2,4,3,6,.7165364,.8004742,3,1,2,3,4,4,2,7,1,4,60
